timestamp,version,llm_model,f1_score,clarity,precision,helpfulness,correctness,average,status,duration_seconds
2026-05-24 18:05:17,v2.3,openai/gpt-4o-mini,0.75,0.89,0.93,0.91,0.84,0.8633,REPROVADO,
2026-05-24 18:10:35,v2.4,openai/gpt-4o-mini,0.77,0.88,0.9,0.89,0.84,0.8559,REPROVADO,
2026-05-24 18:15:30,v2.5,openai/gpt-4o-mini,0.75,0.88,0.9,0.89,0.83,0.8511,REPROVADO,
2026-05-24 18:19:39,v2.6,openai/gpt-4o-mini,0.76,0.87,0.91,0.89,0.84,0.8547,REPROVADO,
2026-05-24 18:31:27,v2.7,openai/gpt-4o-mini,0.72,0.89,0.85,0.87,0.79,0.8251,REPROVADO,
2026-05-24 18:34:47,v2.8,openai/gpt-4o-mini,0.73,0.89,0.89,0.89,0.81,0.8411,REPROVADO,
2026-05-24 18:37:21,v2.8,openai/gpt-4o-mini,0.72,0.89,0.89,0.89,0.81,0.8396,REPROVADO,
2026-05-24 18:40:24,v2.9,openai/gpt-4o-mini,0.81,0.89,0.85,0.87,0.83,0.8496,REPROVADO,
2026-05-24 18:46:02,v2.9,openai/gpt-4o-mini,0.81,0.88,0.86,0.87,0.84,0.8521,REPROVADO,
2026-06-14 12:00:00,v2.10,openai/gpt-4o-mini,0.84,0.90,0.87,0.88,0.86,0.8705,REPROVADO,
2026-06-14 12:30:00,v2.11,openai/gpt-4o-mini,0.78,0.88,0.86,0.87,0.82,0.8418,REPROVADO,
2026-06-14 14:07:16,v2.11,openai/gpt-4o-mini,0.76,0.88,0.86,0.87,0.81,0.8346,REPROVADO,
2026-06-14 14:26:58,v2.12,openai/gpt-4o-mini,0.85,0.92,0.88,0.9,0.86,0.8826,REPROVADO,
2026-06-14 15:24:38,v2.12,openai/gpt-4o-mini,0.84,0.91,0.86,0.89,0.85,0.871,REPROVADO,147.2
2026-06-14 15:27:42,v2.12,openai/gpt-4o-mini,0.85,0.92,0.87,0.89,0.86,0.8771,REPROVADO,150.0
2026-06-14 15:32:03,v2.12,openai/gpt-4.1-mini,0.92,0.86,0.92,0.89,0.92,0.9028,REPROVADO,179.9
2026-06-14 15:37:13,v2.12,ollama/llama3.1:8b,0.85,0.77,0.74,0.75,0.79,0.7804,REPROVADO,285.7
2026-06-14 15:41:16,v2.12,openai/gpt-4.1-mini,0.9,0.87,0.92,0.89,0.91,0.8973,REPROVADO,124.2
2026-06-14 15:46:16,v2.12,openai/gpt-5-mini,0.0,0.0,0.0,0.0,0.0,0.0,REPROVADO,6.0
2026-06-14 16:06:12,v2.12,openai/gpt-5-mini,0.0,0.0,0.0,0.0,0.0,0.0,REPROVADO,8.1
2026-06-14 16:07:18,v2.12,openai/gpt-5-mini,0.0,0.0,0.0,0.0,0.0,0.0,REPROVADO,7.3
2026-06-14 16:29:46,v2.12,openai/gpt-5-mini,0.78,0.86,0.9,0.88,0.84,0.8524,REPROVADO,1271.0
2026-06-14 19:12:40,v2.12,openai/gpt-4.1,0.92,0.87,0.92,0.89,0.92,0.9057,REPROVADO,133.0
2026-06-14 19:25:52,v2.13,openai/gpt-4.1,0.94,0.88,0.94,0.91,0.94,0.9208,REPROVADO,115.3
2026-06-14 19:31:23,v2.14,openai/gpt-4.1,0.94,0.88,0.94,0.91,0.94,0.9205,REPROVADO,112.7
2026-06-14 19:44:08,v2.14,openai/gpt-4.1,0.9358,0.8833,0.93,0.9067,0.9329,0.9177,REPROVADO,101.5
2026-06-14 19:49:36,v2.15,openai/gpt-4.1,0.9395,0.906,0.9347,0.9203,0.9371,0.9275,APROVADO,109.3
